Wavelength (nm);[buf]-005-1-1chaps;[buf]-005-1-1chaps1;[buf]-5-1-1;[buf]-5-1-2; [buf]-10.1; [buf]-10.1 1; [buf]-10.2; [buf]-10.2 1; [buf]-10.2 2; [buf]-Buf; [buf]-10.11;A [H20}-buf;A [buf}-buf;A [buf}-buf 1;A [buf}-10.21;A [buf}-10.22;A [buf}-10.23;A [Buf]-9.1;A [Buf]-9.2;A [Buf]-9.3;A [Buf];A [Buf]-1.11;A [Buf]-1.12;A [Buf]-1.13;A [Buf]-1.13 1;A [Buf]-Buf;A [Buf]-2.11;A [Buf]-2.12;A [Buf]-2.13
782;1,432;2,862;-0,197;0,677;-1,714;-0,304;-1,720;-1,626;-1,710;1,731;9,495;-0,034;-0,002;0,043;-0,054;-0,056;-0,001;-0,059;-0,027;-0,018;0,005;-0,015;0,029;-0,008;-0,036;-0,043;-0,037;-0,023;-0,012
783;1,471;2,877;-0,221;0,692;-1,708;-0,301;-1,730;-1,649;-1,713;1,708;9,590;0,013;0,022;0,028;-0,116;-0,059;-0,010;0,016;0,042;0,055;0,012;-0,027;-0,010;-0,037;-0,045;-0,011;-0,037;-0,027;-0,034
784;1,492;2,887;-0,250;0,693;-1,768;-0,378;-1,771;-1,734;-1,768;1,700;9,545;-0,007;0,036;-0,013;-0,084;-0,008;-0,018;0,041;0,077;0,084;0,041;0,013;0,003;-0,036;-0,024;-0,010;-0,008;-0,042;-0,037
785;1,528;2,943;-0,283;0,691;-1,775;-0,376;-1,737;-1,728;-1,736;1,710;9,574;-0,043;-0,009;0,007;-0,016;0,010;-0,015;0,025;0,101;0,085;0,100;0,021;-0,002;-0,038;0,021;0,025;-0,011;-0,027;-0,042
786;1,510;2,940;-0,363;0,690;-1,765;-0,388;-1,735;-1,685;-1,752;1,757;9,444;-0,090;-0,042;-0,001;0,001;-0,025;-0,003;-0,068;0,092;0,029;0,098;0,006;-0,024;-0,071;0,015;-0,003;-0,024;-0,014;-0,054
787;1,494;2,961;-0,371;0,646;-1,786;-0,419;-1,745;-1,711;-1,774;1,791;9,371;-0,067;-0,057;-0,039;-0,050;-0,066;-0,054;-0,126;0,042;-0,043;0,061;0,033;0,006;-0,039;-0,017;-0,028;-0,053;-0,010;-0,028
788;1,438;2,909;-0,332;0,615;-1,783;-0,375;-1,718;-1,707;-1,765;1,851;9,425;-0,045;-0,056;-0,028;-0,030;-0,038;-0,028;-0,031;0,034;-0,024;0,035;0,039;0,006;-0,031;0,002;-0,054;-0,034;0,012;-0,001
789;1,438;2,912;-0,333;0,676;-1,728;-0,307;-1,685;-1,652;-1,721;1,906;9,456;0,039;-0,039;0,041;0,034;0,021;0,020;0,015;0,035;-0,029;-0,013;0,045;0,036;-0,035;0,029;-0,052;-0,006;0,020;0,020
790;1,457;2,917;-0,301;0,735;-1,768;-0,338;-1,721;-1,675;-1,781;1,882;9,423;0,042;-0,001;0,070;0,095;0,073;0,082;-0,012;0,010;-0,047;-0,033;0,024;0,038;0,004;0,013;-0,026;0,022;-0,015;0,021
791;1,491;2,986;-0,342;0,738;-1,762;-0,337;-1,706;-1,680;-1,768;1,858;9,417;0,039;0,018;0,048;0,088;0,048;0,092;-0,033;0,017;-0,031;0,014;0,067;0,038;0,077;-0,004;-0,007;0,026;0,019;0,078
792;1,445;2,971;-0,385;0,734;-1,736;-0,300;-1,710;-1,690;-1,761;1,809;9,407;0,007;0,033;0,079;0,089;0,026;0,097;0,008;-0,002;-0,026;0,034;0,070;0,017;0,060;0,028;0,005;0,041;0,041;0,086
793;1,448;2,929;-0,387;0,728;-1,710;-0,250;-1,728;-1,712;-1,747;1,792;9,470;0,017;0,029;0,105;0,067;0,048;0,074;0,009;-0,026;-0,040;0,029;0,062;-0,047;0,011;0,014;0,020;0,053;0,055;0,100
794;1,484;2,921;-0,347;0,684;-1,708;-0,244;-1,690;-1,686;-1,734;1,765;9,550;0,036;-0,019;0,065;0,013;0,019;0,039;0,017;-0,024;-0,054;0,023;0,038;-0,019;-0,013;-0,036;-0,025;0,004;0,008;0,032
795;1,530;2,924;-0,340;0,686;-1,770;-0,332;-1,697;-1,685;-1,751;1,738;9,381;0,005;-0,041;0,050;-0,011;0,005;-0,005;-0,024;-0,024;-0,064;-0,013;0,067;0,030;0,034;-0,076;-0,059;-0,005;0,041;0,005
796;1,521;2,922;-0,297;0,675;-1,777;-0,331;-1,696;-1,697;-1,762;1,729;9,402;-0,045;-0,007;0,041;-0,034;-0,017;-0,054;0,028;0,063;-0,041;-0,037;0,037;0,017;0,007;-0,053;-0,055;-0,020;0,021;-0,039
797;1,558;2,926;-0,221;0,673;-1,760;-0,318;-1,688;-1,677;-1,772;1,744;9,434;-0,056;0,025;-0,002;-0,102;-0,054;-0,105;0,028;0,094;-0,013;-0,039;0,018;-0,019;-0,010;-0,035;-0,046;-0,027;0,021;-0,046
798;1,515;2,915;-0,226;0,646;-1,751;-0,348;-1,713;-1,692;-1,770;1,739;9,358;-0,048;0,047;0,024;-0,089;-0,040;-0,072;-0,056;0,090;0,020;-0,006;-0,005;-0,009;-0,058;-0,016;-0,066;-0,072;0,009;-0,087
799;1,505;2,981;-0,248;0,633;-1,751;-0,417;-1,724;-1,702;-1,769;1,727;9,226;-0,041;0,023;0,016;-0,076;-0,021;-0,070;-0,108;0,055;-0,032;-0,028;-0,023;-0,044;-0,070;-0,017;-0,034;-0,052;0,009;-0,105
800;1,491;2,957;-0,293;0,643;-1,720;-0,431;-1,721;-1,720;-1,731;1,710;9,301;-0,037;-0,016;-0,001;-0,008;-0,001;-0,068;-0,062;0,082;-0,076;-0,034;-0,063;-0,036;-0,087;-0,006;-0,013;-0,052;-0,009;-0,081
801;1,485;2,856;-0,328;0,641;-1,681;-0,390;-1,671;-1,639;-1,699;1,710;9,313;-0,042;-0,012;-0,019;-0,046;-0,017;-0,124;-0,010;0,073;-0,091;-0,063;-0,054;-0,019;-0,080;-0,005;-0,025;-0,078;-0,011;-0,099
802;1,509;2,884;-0,323;0,682;-1,774;-0,407;-1,672;-1,692;-1,761;1,721;9,250;-0,050;0,042;0,077;-0,015;-0,008;-0,068;0,031;0,094;0,007;-0,059;-0,043;-0,061;-0,103;-0,043;-0,072;-0,118;0,010;-0,083
803;1,513;2,907;-0,287;0,714;-1,803;-0,391;-1,709;-1,755;-1,803;1,762;9,367;-0,074;0,070;0,083;0,035;-0,010;0,002;0,042;0,053;0,085;-0,010;0,006;-0,069;-0,013;-0,024;-0,066;-0,089;0,035;-0,063
804;1,485;2,897;-0,320;0,709;-1,749;-0,347;-1,712;-1,709;-1,763;1,796;9,615;-0,110;0,019;-0,008;0,029;-0,065;-0,039;0,007;0,036;0,094;0,010;0,065;-0,025;0,025;-0,040;-0,054;-0,076;0,004;-0,058
805;1,493;2,928;-0,322;0,691;-1,686;-0,330;-1,667;-1,603;-1,712;1,797;9,724;-0,102;0,034;-0,009;0,044;-0,068;-0,030;-0,022;0,061;0,021;-0,001;0,065;-0,059;-0,001;-0,061;-0,050;-0,100;-0,039;-0,060
806;1,467;2,945;-0,339;0,716;-1,701;-0,255;-1,601;-1,575;-1,680;1,716;9,586;-0,044;0,054;0,066;0,055;-0,027;0,016;0,029;0,098;-0,026;-0,040;0,041;-0,017;-0,032;-0,065;-0,046;-0,049;-0,053;-0,016
807;1,455;2,920;-0,360;0,671;-1,702;-0,236;-1,592;-1,573;-1,691;1,697;9,544;-0,031;0,012;0,029;0,054;-0,047;-0,002;0,048;0,054;-0,001;-0,067;-0,020;0,043;-0,049;-0,077;-0,020;0,029;-0,061;-0,049
808;1,458;2,917;-0,428;0,717;-1,693;-0,295;-1,622;-1,611;-1,697;1,726;9,502;-0,032;0,019;-0,030;-0,012;-0,078;-0,091;0,060;0,027;0,039;-0,039;0,027;0,086;0,001;-0,054;-0,040;0,045;-0,051;-0,087
809;1,445;2,952;-0,405;0,632;-1,732;-0,350;-1,650;-1,636;-1,722;1,737;9,470;-0,018;0,027;-0,080;-0,106;-0,115;-0,097;0,079;0,038;0,034;-0,038;0,055;0,071;0,028;0,027;-0,010;0,022;-0,026;-0,077
